"XP version",11110
"XTD folder","C:\X-Plane 11\Output\preferences\..\"
"Aircraft model",C172
"Aircraft tail number","N172SP"
"Airport ICAO",KPHX
"Airport name","Phoenix Sky Harbor Intl"
"Touchdown time",2018-03-13 22:08:01
"Timezone",+0800
"time(s)",164.19,164.21,164.23,164.26,164.28,164.30,164.33,164.35,164.37,164.40,164.43,164.45,164.47,164.50,164.52,164.55,164.57,164.60,164.62,164.64,164.67,164.70,164.72,164.75,164.77,164.80,164.82,164.85,164.88,164.90,164.93,164.95,164.98,165.00,165.02,165.05,165.07,165.09,165.11,165.14,165.16,165.18,165.20,165.23,165.25,165.27,165.30,165.32,165.34,165.36,165.39,165.41,165.43,165.45,165.48,165.50,165.52,165.54,165.57,165.59,165.62,165.64,165.66,165.69,165.71,165.73,165.75,165.78,165.80,165.83,165.85,165.87,165.89,165.92,165.94,165.96,165.99,166.01,166.03,166.05,166.08,166.10,166.12,166.14,166.17,166.19,166.21,166.24,166.26,166.28,166.31,166.34,166.36,166.39,166.42,166.44,166.47,166.49,166.52,166.54,166.57,166.60,166.62,166.65,166.68,166.70,166.72,166.75,166.77,166.80,166.82,166.84,166.87,166.89,166.91,166.93,166.95,166.98,167.00,167.02,167.05,167.07,167.09,167.11,167.14,167.16,167.19,167.21,167.23,167.25,167.28,167.30,167.33,167.35,167.37,167.40,167.42,167.44,167.47,167.49,167.51,167.53,167.56,167.58,167.60,167.63,167.65,167.67,167.69,167.72,167.74,167.76,167.78,167.81,167.83,167.85,167.87,167.90,167.92,167.94,167.97,167.99,168.01,168.03,168.05,168.08,168.10,168.12,168.15,168.17,168.19,168.21,168.24,168.26,168.28,168.30,168.33,168.35,168.37,168.40,168.42,168.45,168.47,168.50,168.52,168.55,168.57,168.59,168.62,168.64,168.66,168.69,168.71,168.73,168.75,168.78,168.80,168.83,168.85,168.88,168.90,168.92,168.94,168.97,168.99,169.01,169.03,169.05,169.08,169.10,169.12,169.14,169.16,169.19,169.21,169.23,169.26,169.28,169.30,169.33,169.35,169.37,169.40,169.42,169.44,169.46,169.49,169.51,169.53,169.56,169.58,169.61,169.63,169.65,169.67,169.70,169.72,169.74,169.76,169.79,169.81,169.83,169.85,169.88,169.90,169.92,169.94,169.96,169.99,170.01,170.03,170.05,170.08,170.10,170.12,170.14,170.16,170.19,170.21,170.23,170.25,170.28,170.30,170.33,170.35,170.37,170.40,170.42,170.45,170.47,170.49,170.52,170.54,170.56,170.59,170.61,170.64,170.66,170.69,170.71,170.73,170.76,170.79,170.81,170.84,170.86,170.88,170.90,170.93,170.95,170.97,171.00,171.02,171.04,171.07,171.09,171.11,171.13,171.15,171.18,171.20,171.22,171.24,171.27,171.29,171.31,171.34,171.36,171.39,171.41,171.43,171.45,171.48,171.50,171.52,171.55,171.57,171.59,171.61,171.63,171.66,171.68,171.71,171.73,171.76,171.78,171.80,171.83,171.85,171.87,171.90,171.92,171.94,171.97,171.99,172.01,172.03,172.05,172.08,172.10,172.12,172.14,172.16,172.19,172.21,172.23,172.25,172.27,172.30,172.32,172.34,172.36,172.39,172.41,172.43,172.45,172.47,172.50,172.52,172.54,172.56,172.58,172.61,172.63,172.65,172.67,172.70,172.72,172.74,172.76,172.78,172.81,172.83,172.86,172.88,172.91,172.94,172.96,172.99,173.01,173.03,173.05,173.08,173.10,173.12,173.14,173.16,173.19,173.21,173.23,173.25,173.28,173.31,173.34,173.36,173.39,173.41,173.43,173.45,173.48,173.50,173.52,173.54,173.56,173.59,173.61,173.63,173.66,173.68,173.70,173.73,173.75,173.77,173.80,173.82,173.84,173.86,173.89,173.91,173.93,173.95,173.98,174.00,174.03,174.05,174.07,174.09,174.12,174.14,174.17,174.19,174.21,174.23,174.26,174.28,174.30,174.33,174.35,174.37,174.40,174.42,174.45,174.47,174.49,174.52,174.54,174.56,174.59,174.61,174.64,174.66,174.69,174.71,174.73,174.76,174.78,174.81,174.83,174.86,174.88,174.90,174.93,174.95,174.98,175.00,175.03,175.05,175.07,175.09,175.12,175.14,175.16,175.19,175.21,175.23,175.25,175.28,175.30,175.32,175.35,175.37,175.39,175.41,175.44,175.46,175.49,175.51,175.54,175.56,175.58,175.61,175.63,175.65,175.68,175.70,175.72,175.74,175.76,175.79,175.81,
"is air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
"(fpm)",-266.97,-267.27,-267.58,-267.90,-268.22,-268.52,-268.86,-269.14,-269.42,-269.70,-270.00,-270.30,-270.54,-270.77,-271.02,-271.25,-271.44,-271.62,-271.82,-271.98,-272.13,-272.28,-272.41,-272.52,-272.61,-272.69,-272.73,-272.76,-272.76,-272.74,-272.69,-272.62,-272.53,-272.41,-272.27,-272.13,-271.96,-271.77,-271.56,-271.34,-271.09,-270.82,-270.54,-270.23,-269.90,-269.55,-269.18,-268.72,-268.32,-267.89,-267.44,-266.98,-266.50,-266.00,-265.45,-264.91,-264.36,-263.81,-263.25,-262.57,-261.99,-261.41,-260.82,-260.12,-259.52,-258.94,-258.32,-257.74,-257.04,-256.48,-255.92,-255.38,-254.86,-254.36,-253.86,-253.38,-252.91,-252.37,-251.95,-251.54,-251.16,-250.79,-250.45,-250.10,-249.78,-249.49,-249.21,-248.95,-248.66,-248.43,-248.22,-248.00,-247.80,-247.63,-247.48,-247.35,-247.24,-247.17,-247.10,-247.04,-247.01,-246.99,-246.98,-246.99,-247.01,-247.05,-247.09,-247.13,-247.19,-247.25,-247.32,-247.39,-247.46,-247.53,-247.61,-247.68,-247.75,-247.83,-247.90,-247.98,-248.05,-248.13,-248.20,-248.27,-248.34,-248.40,-248.48,-248.54,-248.62,-248.67,-248.73,-248.80,-248.85,-248.90,-248.95,-249.00,-249.04,-249.07,-249.10,-249.13,-249.14,-249.15,-249.14,-249.13,-249.11,-249.07,-249.02,-248.96,-248.88,-248.78,-248.67,-248.54,-248.39,-248.23,-248.03,-247.81,-247.58,-247.33,-247.07,-246.76,-246.44,-246.02,-245.64,-245.24,-244.82,-244.38,-243.91,-243.43,-242.79,-242.23,-241.65,-241.06,-240.41,-239.77,-239.10,-238.40,-237.68,-236.94,-236.04,-235.25,-234.43,-233.45,-232.60,-231.54,-230.50,-229.61,-228.52,-227.56,-226.59,-225.40,-224.42,-223.44,-222.22,-221.18,-220.12,-219.05,-218.01,-216.91,-215.53,-214.18,-213.02,-211.84,-210.69,-209.52,-208.32,-207.12,-205.92,-204.70,-203.49,-202.25,-201.02,-199.78,-198.55,-197.27,-195.98,-194.65,-193.08,-191.75,-190.39,-189.02,-187.34,-185.93,-184.54,-183.10,-181.68,-180.26,-178.81,-177.08,-175.58,-174.01,-172.48,-170.94,-169.08,-167.51,-165.84,-164.24,-162.63,-160.98,-159.32,-157.66,-155.94,-154.24,-152.41,-150.68,-148.96,-147.20,-145.48,-143.79,-142.00,-140.16,-138.34,-136.56,-134.76,-132.96,-131.17,-129.37,-127.57,-125.79,-123.96,-122.22,-120.42,-118.60,-116.87,-115.07,-112.91,-111.17,-109.31,-107.33,-105.50,-103.72,-101.94,-100.32,-98.30,-96.75,-95.20,-93.54,-92.03,-90.04,-88.52,-87.06,-85.64,-84.31,-82.73,-81.17,-79.76,-78.48,-77.29,-76.11,-75.00,-73.84,-72.74,-71.69,-70.61,-69.62,-68.69,-67.76,-66.84,-65.99,-65.17,-64.38,-63.58,-62.81,-62.06,-61.32,-60.48,-59.79,-59.10,-58.44,-57.78,-57.05,-56.43,-55.86,-55.31,-54.67,-54.15,-53.64,-53.15,-52.69,-52.26,-51.84,-51.45,-51.06,-50.64,-50.32,-49.96,-49.64,-49.40,-49.18,-49.00,-48.83,-48.71,-48.60,-48.54,-48.52,-48.52,-48.56,-48.63,-48.74,-48.88,-49.04,-49.25,-49.48,-49.76,-50.06,-50.40,-50.79,-51.21,-51.65,-52.13,-52.66,-53.22,-53.79,-54.40,-55.05,-55.74,-56.46,-57.19,-57.94,-58.72,-59.56,-60.42,-61.30,-62.23,-63.14,-64.14,-65.11,-66.13,-67.20,-68.25,-69.35,-70.47,-71.57,-72.74,-74.14,-75.32,-76.84,-78.36,-79.69,-81.24,-82.55,-83.92,-85.21,-86.51,-87.82,-89.13,-90.44,-91.74,-93.08,-94.44,-95.91,-97.22,-98.46,-99.79,-100.94,-101.74,-102.21,-102.30,-102.13,-101.74,-101.15,-100.39,-99.46,-98.39,-97.07,-95.77,-94.32,-92.85,-91.15,-89.55,-87.78,-86.08,-84.02,-82.28,-80.54,-78.77,-77.01,-75.27,-73.59,-71.81,-70.11,-68.45,-66.77,-65.11,-63.20,-61.59,-59.93,-58.36,-56.76,-54.90,-53.37,-51.87,-50.37,-48.88,-47.42,-46.01,-44.35,-42.98,-41.59,-40.27,-39.01,-37.50,-36.30,-34.86,-33.68,-32.55,-31.44,-30.34,-29.31,-28.11,-26.96,-25.88,-24.99,-24.14,-23.17,-22.39,-21.50,-20.77,-20.07,-19.40,-18.63,-18.03,-17.30,-16.64,-16.11,-15.61,-15.14,-14.62,-14.19,-13.80,-13.43,-13.03,-12.70,-12.40,-12.11,-11.83,-11.56,-11.29,-11.04,-10.79,-10.55,-10.31,-10.09,-9.87,-9.66,-9.46,-9.24,-9.02,-8.85,-8.66,-8.50,-8.35,-8.17,-8.01,-7.84,-7.67,-7.48,-7.30,-7.11,-6.92,-6.72,
"G force(G)",1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.00,1.01,1.01,1.01,1.01,1.01,1.00,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.00,1.00,1.00,1.00,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.04,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.04,1.04,1.04,1.04,1.04,1.04,1.03,1.03,1.03,1.03,1.03,1.04,1.04,1.04,1.04,1.04,1.05,1.05,1.04,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.96,0.97,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.97,0.97,0.97,0.97,1.68,1.44,1.31,2.09,1.70,1.42,1.23,1.11,1.05,1.01,0.97,0.94,0.93,0.94,0.94,0.94,0.95,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,1.01,1.01,1.03,1.03,1.02,1.03,1.02,1.02,1.02,1.02,1.01,1.00,1.00,1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.00,1.00,0.99,0.99,0.99,1.00,0.99,0.99,0.98,0.98,0.99,0.99,0.99,0.99,1.00,1.01,1.01,1.01,1.00,1.00,0.99,1.00,1.00,0.99,0.98,0.99,0.99,0.99,0.99,0.99,1.00,1.00,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1.01,1.01,1.00,0.99,0.99,1.00,1.00,0.99,0.99,1.00,1.00,1.01,1.01,1.02,1.10,1.05,1.01,1.00,1.00,0.99,1.00,1.00,1.01,1.01,
"pitch(degree)",2.36,2.38,2.39,2.41,2.43,2.44,2.46,2.48,2.50,2.51,2.53,2.55,2.57,2.59,2.61,2.63,2.64,2.66,2.69,2.71,2.73,2.76,2.79,2.81,2.84,2.87,2.90,2.92,2.95,2.97,2.99,3.01,3.03,3.05,3.06,3.07,3.09,3.09,3.10,3.11,3.12,3.12,3.12,3.12,3.12,3.11,3.10,3.09,3.08,3.07,3.05,3.03,3.01,2.99,2.96,2.94,2.91,2.89,2.86,2.83,2.80,2.77,2.75,2.72,2.69,2.67,2.65,2.63,2.61,2.59,2.57,2.56,2.54,2.53,2.52,2.51,2.50,2.49,2.48,2.47,2.47,2.46,2.46,2.45,2.45,2.44,2.44,2.44,2.44,2.43,2.43,2.43,2.43,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.43,2.43,2.43,2.44,2.44,2.44,2.45,2.45,2.45,2.45,2.46,2.46,2.46,2.46,2.45,2.45,2.45,2.45,2.44,2.44,2.44,2.44,2.44,2.45,2.45,2.46,2.47,2.48,2.49,2.50,2.51,2.53,2.55,2.56,2.59,2.61,2.63,2.66,2.68,2.71,2.74,2.76,2.79,2.82,2.84,2.87,2.90,2.92,2.95,2.97,2.99,3.01,3.03,3.05,3.07,3.09,3.10,3.12,3.13,3.15,3.16,3.18,3.19,3.20,3.21,3.23,3.24,3.25,3.27,3.28,3.29,3.30,3.31,3.32,3.33,3.34,3.35,3.36,3.37,3.38,3.39,3.40,3.41,3.42,3.43,3.44,3.45,3.46,3.47,3.48,3.49,3.50,3.51,3.52,3.54,3.55,3.57,3.59,3.61,3.63,3.65,3.67,3.70,3.72,3.74,3.76,3.79,3.81,3.84,3.86,3.89,3.92,3.94,3.97,4.00,4.03,4.07,4.10,4.13,4.16,4.19,4.22,4.25,4.28,4.31,4.33,4.35,4.38,4.40,4.42,4.44,4.46,4.48,4.49,4.51,4.52,4.53,4.54,4.55,4.56,4.57,4.58,4.58,4.58,4.59,4.59,4.59,4.59,4.59,4.58,4.58,4.58,4.57,4.57,4.57,4.56,4.56,4.55,4.55,4.54,4.54,4.53,4.53,4.53,4.52,4.52,4.52,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.52,4.52,4.53,4.54,4.54,4.56,4.57,4.58,4.60,4.62,4.64,4.66,4.68,4.71,4.73,4.75,4.78,4.80,4.82,4.85,4.87,4.89,4.91,4.93,4.95,4.97,4.98,4.99,5.00,5.01,5.02,5.02,5.02,5.02,5.02,5.02,5.01,5.00,4.99,4.98,4.97,4.96,4.95,4.93,4.92,4.91,4.89,4.87,4.85,4.84,4.82,4.80,4.78,4.77,4.75,4.73,4.72,4.70,4.69,4.67,4.66,4.65,4.63,4.62,4.61,4.60,4.59,4.58,4.58,4.57,4.56,4.56,4.56,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.56,4.56,4.56,4.56,4.57,4.57,4.57,4.58,4.58,4.59,4.60,4.60,4.61,4.62,4.63,4.64,4.65,4.65,4.66,4.67,4.68,4.70,4.71,4.72,4.74,4.76,4.78,4.80,4.81,4.83,4.85,4.87,4.89,4.91,4.93,4.95,4.95,4.94,4.93,4.89,4.84,4.79,4.75,4.71,4.68,4.66,4.64,4.63,4.62,4.62,4.63,4.64,4.66,4.69,4.71,4.75,4.78,4.83,4.87,4.91,4.96,5.01,5.05,5.10,5.14,5.19,5.22,5.26,5.29,5.33,5.35,5.38,5.40,5.42,5.44,5.45,5.46,5.46,5.47,5.46,5.46,5.44,5.43,5.41,5.38,5.35,5.32,5.28,5.23,5.19,5.14,5.10,5.04,4.99,4.92,4.85,4.78,4.71,4.65,4.56,4.49,4.40,4.32,4.25,4.17,4.07,3.99,3.89,3.79,3.70,3.62,3.53,3.43,3.34,3.26,3.17,3.07,2.98,2.89,2.80,2.71,2.62,2.53,2.44,2.35,2.26,2.17,2.08,1.99,1.90,1.81,1.71,1.61,1.52,1.42,1.33,1.25,1.16,1.10,1.04,1.00,0.97,0.94,0.92,0.91,0.91,
"elevator(%)",-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.01,-0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,-0.00,-0.01,-0.02,-0.02,-0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.04,-0.04,-0.05,-0.05,-0.05,-0.06,-0.07,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.09,0.10,0.10,0.10,0.10,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.09,0.10,0.11,0.10,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.18,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.19,0.19,0.20,0.21,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.27,0.27,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.26,0.24,0.22,0.21,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.12,0.12,0.11,0.11,0.10,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,
